priref,Object Number,Object Name,Scientific Name,Description,Collector Name,Collection Place,OS Grid Ref,Stratigraphy Unit,Stratigraphy Type,Image URL,Latitude,Longitude
51824,G.00055.001,Brachiopod,Dalmanella unguis,"Fossilised shell remains of the Ordovician brachiopod, Dalmanella unguis found at Marshwood, Shropshire. Counterpart of G.00055.002. Original Ludlow Natural History Society specimen.",unknown,Marshwood; Marshbrook; Shropshire,unknown,Ordovician; Caradoc Series; Marshbrookian Stage; Upper Cheney Longville Flags,Chronostratigraphy; Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00055.001.jpg,null,null
655139,G.00055.002,Brachiopod,Dalmanella unguis,"Fossilised shell remains of the Ordovician brachiopod, Dalmanella unguis found at Marshwood, Shropshire. Counterpart of G.00055.001. Original Ludlow Natural History Society specimen.",unknown,Marshwood; Marshbrook; Shropshire,unknown,Ordovician; Caradoc Series; Marshbrookian Stage; Upper Cheney Longville Flags,Chronostratigraphy; Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00055.002.jpg,null,null
51902,G.00093,Brachiopod,Strophomena grandis,"Ordovician fossil brachiopod, Strophomena grandis",unknown,Marshbrook,SO440890,Ordovician Period; Caradoc Series; Longvillian Stage,Chronostratigraphy; Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00093.jpg,52.495661755118356,-2.8249534791599977
51903,G.00094,Brachiopod,Kjaerina typa,"Fossilised remains of single valve of Ordovician fossil brachiopod Kjaerina typa. Found at Cheney Longvillle, Shropshire. Original Ludlow Natural History specimen.",unknown,Cheney Longville,SO410850,Ordovician Period; Caradoc Series; Aeronian Stage; Longvillian Substage,Chronostratigraphy; Chronostratigraphy; Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00094.jpg,52.45938551808039,-2.868433714156033
54696,G.00096.002,Brachiopod,Dalmanella wattsi,Fossiled shell of the Ordovician brachiopod Dalmanella wattsi. Found at Marshwood Shropshire. Original Ludlow Natural History Society specimen.,unknown,Marshwood,unknown,Ordovician Period; Caradoc Series; Cheney Longville Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00096.002.jpg,null,null
51907,G.00106,Graptolite,Diplograptus foliaceus,"Fossilised remains of the Ordovician graptolite, Diplograptus foliaceus found at Meadowtown. Original Ludlow Natural History Society specimen.",unknown,Meadowtown,unknown,Ordovician,Chronostratigraphy; Biostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00106.jpg,null,null
50807,G.00118,CORAL,Kodonophyllum truncatum,"Fossil remains of the Silurian rugose coral, Kodonophyllum truncatum.",unknown,Unknown,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00118a.jpg,null,null
51925,G.00123,CORAL,Ketophyllum turbinatum,"Silurian fossil coral, Ketophyllum turbinatum. Part of the original Ludlow Natural History Society collection","Lloyd, Dr. Thomas",Unknown,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00123c.jpg,null,null
52007,G.00148,Brachiopod,Kirkidium knighti,"Fossilised shell remains of the Silurian brachiopod, Kirkidium knighti found at Shelderton","Pardoe, H.; Marston, A.",Shelderton,SO400570,Silurian Period; Ludlow Series; Upper Bringewood Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00148.jpg,52.20755184262665,-2.87815114340347
50924,G.00194,Gastropod,Poluemita globosa,Fossilised shell remains of the Silurian gastropod Poluemita globosa,unknown,Unknown,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00194.jpg,null,null
50908,G.00196,Gastropod,Loxonema sinuosa,"Fossilised Silurian gastropod, Loxonema sinosa. Original Ludlow Natural History Society specimen.",unknown,Ludlow Town,SO510740,Silurian Period; Ludlow Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00196.jpg,52.36148008539213,-2.719644081867656
50923,G.00197,Gastropod,unknown,"Fossilised remains of a Silurian gastropod Cyclonema corallii. Found by Moore, R.G. and Bell, P. at Whitcliffe, Shropshire.","Moore, R.G.; Bell, P.",Whitcliffe,SO500740,Silurian Period; Ludlow Series; Whitcliffe Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00197.jpg,52.36138974789739,-2.734329399727082
50621,G.00214,Graptolite,Saetograptus leintwardinensis; Monograptus sp.,Complete and fragmented remains of the Silurian fossil graptolites Saetograptus leintwardinensis and Monograptus sp. Believed to come from Church Hill area. Original Ludlow Natural History specimen.,unknown,Church Hill,SO410730,Silurian Period; Lower Leintwardine Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00214.jpg,52.35150443748294,-2.8663177154317503
50817,G.00269,Brachiopod,Lingula lewisi,"Fossilised remains of a single valve of the Silurian brachiopod, Lingula lewisi, found in Ludlow Town.","Norton, W.J.",Ludlow Town,SO510740,Silurian Period; Ludlow Series; Aymestry Limestone Member,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00269.jpg,52.36148008539213,-2.719644081867656
52486,G.00317,Brachiopod,Dalmanella lunata,"Fossilised remains of the Silurian brachiopod, Dalmanella lunata.","Norton, W.J.",Bringewood,unknown,Silurian Period; Ludlow Series; Bringewood Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00317.jpg,null,null
654725,G.00400.001,Brachiopod,Kirkidium knightii,"Half of a Silurian fossil brachiopod, Kirkidium knightii  showing septum",unknown,Unknown,unknown,Silurian Period; Aymestry Limestone Member,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00400.001b.jpg,null,null
654727,G.00400.002,Brachiopod,Kirkidium knightii,"Half of a Silurian fossil brachiopod, Kirkidium knightii showing septum",unknown,Unknown,unknown,Silurian Period; Aymestry Limestone Member,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00400.002b.jpg,null,null
54507,G.00468,Brachiopod,Sowerbyella sericea,"Fossilised remains of the Ordovician brachiopod Sowerbyella sericea. Mostly preserved as intermal moulds of single valves, with some shell fragments. Original Ludlow Natural History Society specimen.",unknown,Horderley,SO410860,Ordovician Period; Caradoc Series; Longvillian Substage; Horderley Sandstone Formation,Chronostratigraphy; Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00468.jpg,52.468375516355636,-2.868610652828408
54490,G.00483,Brachiopod; Cricoconarida,Strophomena expansa; Tentaculites anglicus,"Fossilised remains of the Ordovician brachiopod Strophomena expansa, mostly in the form of interal moulds of single valves. Some original shell material. Also present are the Cricoconarid Tentaculites.","Bason, Miss",Cheney Longville,unknown,Ordovician Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00483.jpg,null,null
655346,G.00489,Brachiopod,Strophomena expansa; Leptaena rhomboidalis; Atrypa reticularis,"Assemblage of Silurian brachiopods including Strophomena expansa, Leptaena rhomboidalis and Atrypa reticularis. Found at Sunny Gutter near Ludlow.","Norton, W.J.",Sunny Gutter,unknown,Silurian Period; Aymestry Limestone Member,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00489.jpg,null,null
54805,G.00491,Brachiopod,Orthis expansa,"Fossilised internal mould of the shell of the Ordovician brachiopod, Orthis expansa. Original Ludlow Natural History Museum specimen.",unknown,Unknown,unknown,Ordovician Period; Caradoc Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00491.jpg,null,null
655666,G.00496,Brachiopod,Dolerorthis rustica,Fossilised shell remains of the Silurian brachiopod Dolerorthis rustica.,unknown,Unknown,unknown,Silurian; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00496.jpg,null,null
655377,G.00566,Brachiopod,Protochonetes ludloviensis; Salopina lunata,"Assemblage of Silurian brachiopods including Protochonetes ludloviensis and Salopina lunata. Found at Whitcliffe, Ludlow.","Braddock, Mary",Whitcliffe,unknown,Silurian Period; Whitcliffe Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00566a.jpg,null,null
80451,G.00604,Brachiopod,Microsphaeridiorhynchia nucula,"Fossilised remains of the Silurian brachiopod, Microsphaeridiorhynchia nucula found at Mortimer's Cross","Bell, P.",Mortimer's Cross,unknown,Silurian; Ludfordian Stage,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00604.jpg,null,null
651464,G.00922,Brachiopod,Atrypa reticularis,"Fossilised remains of the Silurian brachiopod, Atrypa reticularis found at Bringewood","Moore, R.G.; Bell, P.",Bringewood,unknown,Silurian; Aymestry Limestone Member,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.00922.jpg,null,null
54813,G.01087,Brachiopod,Harknessella vespertilio,Fossilised remains of the valve of the Ordovician brachiopod Harknessella vespertilio. Believed to have been collected from the Craven Arms area.,unknown,Craven Arms District,unknown,Ordovician Period; Caradoc Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01087.jpg,null,null
54542,G.01134,Brachiopod,Sowerbyella sericea,Fossilised remains of the Ordovician brachiopod Sowerbyella sericea. Internal mould of single valves as well as exteral shell fragments.,"Shephard, H.H.",Marshbrook,unknown,Ordovician Period; Caradoc Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01134.jpg,null,null
54563,G.01136,Brachiopod,Dalmanella unguis,"Fossilised remains of single valves of the Ordovician brachiopod Dalmanella unguis. Found at Cheney Longville, Shropshire.","Shephard, H.H.",Cheney Longville,unknown,Ordovician Period; Caradoc Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01136.jpg,null,null
55344,G.01386,Cricoconarid,Tentaculites anglicus,"Fossilised fragments of the Ordovician cricoconarid Tentaculites anglicus. Found by Norton, W.J. at Bromfield.","Norton, W.J.",Bromfield,unknown,Ordovician Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01386.jpg,null,null
51575,G.01651,Gastropod,Poleumita discors,"Fossilised remains of the Silurian fossil gastropod Poleumita discors found on Wenlock Edge, Shropshire","Norton, W.J.",Wenlock Edge,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01651.jpg,null,null
51576,G.01652,Gastropod,Poleumita discors,"Fossiled remains of the Silurian fossil gastropod Poleumita discors found on Wenlock Egde, Shropshire.","Norton, W.J.",Wenlock Edge,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01652.jpg,null,null
56947,G.01787.002,Gastropod,Turbo sp.,"Fossilised shell of the marine Silurian gastropod Turbo sp. Found at Upper Millichope, Shropshire.","Thacker, D.; Norton, W.J.",Upper Millichope,SO520890,Silurian Period; Middle Elton Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01787.002.jpg,52.49642462983458,-2.707113549219267
57189,G.01790,Gastropod,Poleumita rugosa,Fossilised shell remains of the Silurian gastropod Poleumita rugosa found at Farley Quarry.,"Shephard, H. H.",Farley Quarry,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01790.jpg,null,null
51027,G.01864,Gastropod,Platyschisma helicites,"Fossilised remains of the Silurian gastropod Platyschisma helicites found by Moore, R.G. and Bell, P. in Ludlow, Shropshire.","Moore, R.G.; Bell, P.",Ludford Lane,unknown,Silurian Period,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01864.jpg,null,null
56943,G.01954,Gastropod,Cyclonema octavia,"Fossilised shell fragment of the Silurian gastropod, Cyclonema octavia found at Norton Lane Quarry, Craven Arms Shropshire.","Shephard, H.H.",Norton Lane Quarry; Craven Arms,SO430020,Silurian Period; Ludlow Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01954.jpg,51.713373220247824,-2.825119071333962
56882,G.01957,Gastropod; BIVALVE,Loxonema sinuosa; Pterinea sp.,"Fossil remains of a Silurian gastropod, Loxonema sinuosa, preserved as an internal mould and cast. Also preserved is a valve of the bivalve Pterinea sp. and fragments of brachiopod and bryozoan.","Moore, R.G.; Bell, P.",Whitcliffe,SO500740,Silurian Period; Upper Leintwardine Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01957.jpg,52.36138974789739,-2.734329399727082
56879,G.01972,Gastropod,Loxonema sinuosa,"Well worn fossilised remains of the Silurian gastropod Loxonema sinuosa. Preserved in a water rounded pebble. Found at Linney, Ludlow.","Rogers, Ian","Linney, Ludlow",SO500740,Silurian Period; Ludfordian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01972.jpg,52.36138974789739,-2.734329399727082
56639,G.01981,Gastropod,Bellerophon sp.,Fossilised shell remains of the Silurian gastropod Bellerophon sp. found at Amestry Quarry.,"Moore, R.G.; Bell, P.",Aymestry quarry,unknown,Silurian Period; Ludlow Series; Middle Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01981.jpg,null,null
50811,G.01987,Gastropod,Platyceras haliotis,Fossilised remains of the Silurian gastropod Platyceras haliotis.,unknown,Unknown,unknown,Silurian Period; Much Wenlock Limestone Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.01987.jpg,null,null
57670,G.02149,Cricoconarid,Cornulites serpularius,"Fossilised fragments of the Silurian cricoconarid, Cornulities serpularius","Norton, W. J.",Downton Castle,unknown,Silurian Period; Whitcliffe Formation,Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02149.jpg,null,null
655604,G.02275,CORAL,Petraia sp.,"Part of a Silurian fossil anthozoan, Petraia sp. found at Mocktree Hayes, Leintwardine","Shephard, H.H.",Mocktree Hayes,unknown,Silurian,Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02275.jpg,null,null
53768,G.02415,Trilobite,Ogyginus intermedius,"Fossilised remains of the Ordovician trilobite Ogyginus intermedius found at Hillside,  Llandridod Wells","Shephard, H.H.",Hillside,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02415.jpg,null,null
53879,G.02447,Trilobite,Ogygiocarella augustissima,"Fossilised remains of the Ordovician trilobite Ogygiocarella augustissima found at Llandrindod Wells, Powys","Shephard, H.H.","Llandrindod Wells, Powys",unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02447.jpg,null,null
54137,G.02501,Trilobite,TRILOBITA,Fossilised remains of the Pygidium and thorax of Ordovician trilobites found in Montgomery,"Jones, Peter",Montgomery,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02501.jpg,null,null
53029,G.02533,Trilobite,Cryptolithus fimbriatus,Fossilised remains of the Ordovician trilobite Cryptolithus fimbriatus.,"Shephard, H.H.",Unknown,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02533.jpg,null,null
53030,G.02534,Trilobite,Cryptolithus fimbriatus,Fossilised remains of the Ordovician trilobite Cryptolithus fimbriatus.,unknown,Unknown,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02534.jpg,null,null
53031,G.02535,Trilobite,Cryptolithus fimbriatus,Fossilised remains of the Ordovician trilobite Cryptolithus fimbriatus,unknown,Unknown,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02535.jpg,null,null
53487,G.02552,Trilobite,TRILOBITA,Fossilised remains of the cephalon of Ordovician trilobites found at Llanfawr Quarry,"Shephard, H.H.",Llanfawr Quarry,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02552a.jpg,null,null
52626,G.02558,Trilobite,Ampyx sp.,Fossilised remains of the Ordovician trilobite Ampyx sp.,"Shephard, H.H.",Llanfawr Quarry,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02558.jpg,null,null
52117,G.02596,Trilobite,Flexiycalymene sp.,Fossilised remains of the Ordovician trilobite Flexiycalymene sp.,"Shephard, H. H.",Site unknown,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02596.jpg,null,null
52797,G.02615.001,Trilobite,Trinucleus fimbriatus,Fossilised remains of  the Ordovician trilobite Trinucleus fimbriatus.,unknown,Unknown,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02615.001.jpg,null,null
52798,G.02615.002,Trilobite,Trinucleus fimbriatus,Fossilised remains of the thorax and pygidium and partial cephalon of the Ordovician trilobite Trinucleus fimbriatus.,unknown,Unknown,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02615.002.jpg,null,null
52691,G.02618.001,Trilobite,Trinucleus lloydi,"Fossilised remains of the Ordovician trilobite Trinucleus lloydi found at Hillside, Llandrindod Wells.","Shephard, H.H.",Hillside; Llandrindod Wells,unknown,Ordovician Period; Llandeilian Stage,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.02618.001a.jpg,null,null
